gender,age,debt,married,bankCustmer,eductionalLevel,enthnicity,priorDefault,employed,creditScore,DriverLicense,citizen,ZipCode,income,Approvalstatus
1,12,6,s,g,w,h,1,0,1,f,s,375,560,1
0,70,4,n,g,q,v,1,0,0,t,g,55,824,1
1,21,2,s,g,w,v,0,1,0,t,s,375,560,
0,72,3,n,g,q,h,0,1,1,t,g,55,824,1
1,13,5,s,g,q,h,1,0,0,f,g,453,589,1
0,39,3,n,g,q,v,1,0,5,t,s,482,58,1
0,71,2,n,g,w,v,0,0,0,f,s,56,666,1
0,30,5,s,g,w,h,1,1,0,f,g,258,587,
1,16,5,n,g,q,h,0,0,0,t,g,369,478,0
1,22,3,s,g,q,h,1,1,0,t,s,147,33,1
1,20,2,s,g,w,h,1,0,1,f,g,15,89,1
0,26,4,n,g,q,v,1,0,0,t,g,591,89,
0,25,6,s,g,w,v,0,1,0,t,g,357,79,
1,30,2,s,g,q,h,0,1,1,t,s,456,333,1
1,16,4,n,g,q,h,0,1,0,f,s,426,123,
0,38,2,s,g,w,v,1,0,0,t,s,253,65,0
1,56,3,n,g,q,v,0,1,0,f,g,55,87,
0,10,5,s,g,q,h,1,0,6,f,g,316,560,1
1,15,3,n,g,q,v,1,0,0,t,g,351,824,1
0,62,2,n,g,w,h,0,1,5,f,s,123,765,0
1,83,2,s,g,w,v,0,1,0,f,g,234,560,1
0,32,3,n,g,q,v,1,1,0,t,g,58,824,1
1,65,6,n,g,w,h,1,0,0,f,s,391,560,
0,88,2,s,g,q,h,1,0,0,f,g,55,824,1
1,14,4,n,g,q,v,1,0,5,t,g,15,89,1
1,66,1,n,g,w,v,0,0,0,f,g,591,89,
1,18,5,s,g,w,h,1,1,0,f,g,357,79,
0,19,5,s,g,q,h,0,0,0,t,s,456,333,1
0,24,1,s,g,q,h,1,1,0,f,s,321,123,
1,21,5,s,g,w,h,1,0,1,t,g,55,65,0
1,20,2,s,g,w,h,1,0,1,f,s,91,87,
0,26,4,n,g,q,v,1,0,0,t,s,375,560,1
0,25,6,s,g,w,v,0,1,0,t,g,55,824,1
1,30,2,s,g,q,h,0,1,1,t,g,88,765,0
1,16,4,n,g,q,h,0,1,0,f,s,375,560,1
0,38,2,s,g,w,v,1,0,0,t,g,55,824,1
1,56,3,n,g,q,v,0,1,0,f,s,321,123,
0,10,5,s,g,w,v,1,1,1,t,g,55,65,0
1,15,3,s,g,q,h,1,1,1,f,s,91,87,
0,98,2,s,g,w,h,1,0,0,t,s,375,560,1
1,21,4,n,g,q,v,1,0,0,t,g,55,824,1
0,80,6,s,g,w,v,0,1,1,t,g,88,765,0
1,53,2,s,g,q,h,0,1,0,f,s,375,560,1
0,24,1,s,g,q,h,0,1,0,f,s,426,123,
1,21,5,s,g,w,h,1,0,0,t,s,253,65,0
1,20,2,s,g,w,h,0,1,0,f,g,55,87,
0,26,4,n,g,q,v,1,0,6,f,g,316,560,1
0,25,6,s,g,w,v,1,0,0,t,g,351,824,1
1,30,2,s,g,q,h,0,1,5,f,s,123,765,0
1,16,4,n,g,q,h,0,1,0,f,g,234,560,1
0,38,2,s,g,w,v,1,1,0,t,g,58,824,1
1,56,3,n,g,q,v,1,0,0,f,s,391,560,
0,10,5,s,g,w,v,1,0,0,f,g,55,824,1
1,15,3,s,g,q,h,1,0,5,t,g,15,89,1
0,85,2,s,g,w,h,0,0,0,f,g,591,131,
1,21,5,n,g,w,v,1,1,0,f,s,231,139,1
1,52,2,s,g,w,h,1,0,1,t,s,986,568,0
1,21,5,n,g,q,h,0,1,5,t,s,531,213,1
0,66,2,s,g,q,v,0,0,6,t,s,521,546,
0,28,2,s,g,w,v,0,1,6,f,g,549,456,1
1,54,6,s,g,q,v,1,0,6,f,g,206,369,0
0,72,1,s,g,q,h,1,1,1,t,g,612,147,
1,88,5,s,g,w,v,1,0,1,f,g,222,258,0
0,34,4,n,g,q,h,0,1,0,t,s,897,357,1
0,53,2,s,g,w,v,1,0,0,t,s,213,159,
1,22,7,n,g,q,h,0,1,0,f,s,569,258,1
